listing_id,title,current_price,purpose,neighbourhood,bedrooms,flag,corrected_price
bdb97afa-7d2b-4af6-b3ea-c98b8ffc5dcb,"A Beautifully Furnished 4 Bedroom En-Suite Apartment To Let in Westlands",0,rent,Westlands,4,MISSING,
b0ea1ebb-244d-4714-9d61-4da076107c12,"A Luxurious Fully Furnished 1 Bedroom Apartment To Let in GTC Westlands",0,rent,Westlands,1,MISSING,
055ad7ec-b56b-4bff-9905-9ba9fc5474b2,"Elegant 1 Bedroom Apartment for Rent In Kilimani",0,rent,Kilimani,1,MISSING,
5e7c4ff1-a736-4b20-88c6-5ebd1bf6c75a,"Elegant 1 Bedroom Fully Furnished Apartment for Rent in Misty Springs, Westlands",0,rent,Westlands,1,MISSING,
740aa936-00a5-43f3-adc6-79db66ce3334,"En-Suite Furnished 1 Bedroom for Rent in Kilimani, Nairobi | All Bills Included",0,rent,Kilimani,1,MISSING,
d352efb9-b864-4883-8c01-a6ac42aeeaed,"Executive 1 Bedroom Furnished Apartment for Rent in Elite Residence, Westlands",0,rent,Westlands,1,MISSING,
5995cac1-63d7-4677-ab92-22e1b1b91ccd,"Executive 3 Bedroom Furnished Apartment for Rent in Westlands",0,rent,Westlands,2,MISSING,
46d12389-63b9-4915-a6ce-66e9b076d3f6,"Executive 4 Bedroom Family Home for Rent in Brookside, Westlands",0,rent,Westlands,4,MISSING,
0d25d2c7-4667-4d57-aa34-6ba5cf148dcd,"Executive 8 Bedroom Furnished Residence for Rent in Runda",0,rent,Runda,8,MISSING,
5459a7cc-8165-4d5f-ac12-77f691d31a99,"Fully Furnished 1 Bedroom Apartment for Rent in Kilimani, Nairobi for Short & Long Stay",0,rent,Kilimani,1,MISSING,
f5f2f646-e254-42b3-8e53-63969f9eef9e,"Fully Furnished 1 Bedroom Stylish Apartment for Rent in Kindaruma Homes, Lavington",0,rent,Lavington,1,MISSING,
a3ad8c74-3dfa-4b76-b5c3-2c64bca41907,"FULLY FURNISHED 4 BEDROOM PRIVATE VILLA IN DIANI",0,rent,Diani,4,MISSING,
93335772-831e-4156-bf8f-bca14a587e11,"Fully Furnished Airbnb Apartments for Rent in Kisumu Milimani",0,rent,Kilimani,5,MISSING,
b427d14a-40a6-4be3-83a2-1415c4932ea6,"Fully Furnished Airbnb for Rent in Kisumu Milimani",0,sale,Kilimani,1,MISSING,
e3ade105-057f-414b-aebe-7a21aac6132e,"Furnished 1-Bedroom Apartment for Rent in Kilimani, Nairobi | Near Yaya Centre",0,rent,Kilimani,1,MISSING,
ed443b78-8ae5-4c34-8fcd-51181fb4409e,"Furnished 2 Bedroom Apartment for Rent at Pinecrest, Kilimani",0,rent,Kilimani,2,MISSING,
c4d4f753-e688-42fb-ac63-7c5834086d8f,"LUXURIOUS 3 BEDROOM APARTMENT PLUS DSQ FOR RENT IN KAREN",0,rent,Karen,3,MISSING,
906beca2-07b5-4c95-8590-6cc01acd13a2,"LUXURIOUS FULLY FURNISHED APARTMENTS FOR RENT",0,rent,,4,MISSING,
d38d7e65-dad3-4a12-8b9e-7928e00c8849,"LUXURIOUS VILLA IN OSTREA KAREN FOR SALE",0,sale,Karen,5,MISSING,
03b87e2d-a586-4d5c-b066-f46207fc78a2,"Luxury 1 Bedroom Fully Furnished Apartment for Rent in GTC, Westlands for Short & Long-Term Stays Available",0,rent,Westlands,1,MISSING,
506589cc-9d63-4054-a1ac-d995224a8636,"Luxury 1 Bedroom Fully Furnished Apartment for Rent in Westlands | Walking Distance to GTC & JW Marriott",0,rent,Westlands,1,MISSING,
9347e66f-cfae-47cd-ac89-f4393a5b8f29,"Luxury 1 Bedroom Fully Furnished Apartment for Rent in Westlands, Nairobi",0,rent,Westlands,1,MISSING,
22085455-062a-4d98-9bac-dba85b3d154d,"Luxury 2 Bedroom Fully Furnished Apartment for Rent in GTC, Westlands",0,rent,Westlands,2,MISSING,
72bce501-cc3a-4a91-ac10-4a6868cc8965,"Luxury 2 Bedroom Furnished Apartment for Rent in Riara Road, Nairobi | Near Lavington",0,rent,Lavington,2,MISSING,
cf072641-b76a-46cf-857d-6e5bf9ba7841,"Luxury 2 Bedroom Furnished Apartment for Rent in Westlands | Nairobi",0,rent,Westlands,2,MISSING,
